rating,offer,price,mrp,results,title_name
,88% off,₹119,999,https://www.flipkart.com/samtroh-men-multicolor-artificial-leather-wallet/p/itmfgfnckhqmhrwd?pid=WCWFFZYGNAGH3GN2&lid=LSTWCWFFZYGNAGH3GN2149OHZ&marketplace=FLIPKART&srno=b_3_111&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=34f8d2e7-f91c-41d5-be18-51dbdadad5cd.WCWFFZYGNAGH3GN2.SEARCH,"Men Multicolor Artificial Leather Wallet,  (5 Card Slots)"
,71% off,₹344,"1,199",https://www.flipkart.com/laurels-men-casual-evening-party-tan-genuine-leather-wallet/p/itmf3umy8xa3fcb5?pid=WCWF3UDZU6Q3TMJE&lid=LSTWCWF3UDZU6Q3TMJEW5PCDN&marketplace=FLIPKART&srno=b_3_112&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=3f607e3b-8a70-4017-b1d1-90112f962930.WCWF3UDZU6Q3TMJE.SEARCH,"Men Casual, Evening/Party Tan Genuine Leather Wallet,  (9 Card Slots)"
,60% off,₹590,"1,499",https://www.flipkart.com/spl-men-khaki-artificial-leather-wallet/p/itmf9n7jugpxmsxp?pid=WCWF9N5ACGG7WNYF&lid=LSTWCWF9N5ACGG7WNYFRDGYUX&marketplace=FLIPKART&srno=b_3_115&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=27259655-52a8-4f6d-a3e0-59c0c67fe6d8.WCWF9N5ACGG7WNYF.SEARCH,"Men Khaki Artificial Leather Wallet,  (12 Card Slots)"
,82% off,₹179,999,https://www.flipkart.com/samtroh-men-beige-artificial-leather-wallet/p/itmfdjebntxxuzu3?pid=WCWFDGACCHFHNDKG&lid=LSTWCWFDGACCHFHNDKG31V4AN&marketplace=FLIPKART&srno=b_3_109&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=f4d050d6-2d26-472c-b150-8a636aed3cd9.WCWFDGACCHFHNDKG.SEARCH,"Men Beige Artificial Leather Wallet,  (5 Card Slots)"
,71% off,₹687,"2,390",https://www.flipkart.com/lavie-women-casual-blue-artificial-leather-wallet/p/itmf7ztedqtfvfmc?pid=WCWF7ZTEUFNXTYKC&lid=LSTWCWF7ZTEUFNXTYKCLTUGHG&marketplace=FLIPKART&srno=b_3_108&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=b2de0a11-5b67-435f-acec-a4b82df2e514.WCWF7ZTEUFNXTYKC.SEARCH,"Women Casual Blue Artificial Leather Wallet,  (12 Card Slots)"
,81% off,₹223,"1,199",https://www.flipkart.com/pocket-bazar-men-beige-artificial-leather-wallet/p/itmf3zex6avhh2d9?pid=WCWFDR9Y6F4VTY9Q&lid=LSTWCWFDR9Y6F4VTY9QKRZW5J&marketplace=FLIPKART&srno=b_3_107&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=b6e6f32e-4370-49fe-803b-1c9c030ceba3.WCWFDR9Y6F4VTY9Q.SEARCH,"Men Beige Artificial Leather Wallet,  (5 Card Slots)"
,81% off,₹227,"1,195",https://www.flipkart.com/tnw-girls-casual-beige-artificial-leather-wallet/p/itmf8yagvywvyrrf?pid=WCWF8Y8Y8QFXR5PQ&lid=LSTWCWF8Y8Y8QFXR5PQCNWY1M&marketplace=FLIPKART&srno=b_3_106&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=f1d5fc17-5a2d-40db-b57f-4b52421f2e80.WCWF8Y8Y8QFXR5PQ.SEARCH,"Girls Casual Beige Artificial Leather Wallet,  (3 Card Slots)"
,66% off,₹539,"1,599",https://www.flipkart.com/allen-cooper-men-casual-blue-genuine-leather-wallet/p/itmfc8kvjpffdsgh?pid=WCWFC59H7TMHHMNU&lid=LSTWCWFC59H7TMHHMNUFA25R6&marketplace=FLIPKART&srno=b_3_104&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=en_aojAsE7bEe7x1AiWKpVOQfjsjwyhnSHPXd6A%2FmNZeipB4NL18RCMc41yWDG9c6gVrmK9%2F9QDegWpMNywTDoapw%3D%3D,"Men Casual Blue Genuine Leather Wallet,  (5 Card Slots)"
,75% off,₹449,"1,799",https://www.flipkart.com/krosshorn-men-brown-genuine-leather-wallet/p/itmfga2ncch54m3v?pid=WCWFG9TACBTDC9GZ&lid=LSTWCWFG9TACBTDC9GZJE9DNO&marketplace=FLIPKART&srno=b_3_120&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=en_aojAsE7bEe7x1AiWKpVOQfjsjwyhnSHPXd6A%2FmNZeioZDNM6hzQp5r92q7Ke3Qul9DyVh3wlfya4b%2FWMzCLDvg%3D%3D,"Men Brown Genuine Leather Wallet,  (8 Card Slots)"
,65% off,₹449,"1,299",https://www.flipkart.com/spl-boys-brown-artificial-leather-wallet/p/itmf6kdwz2x4hfye?pid=WCWF6GNZYGBEASW5&lid=LSTWCWF6GNZYGBEASW5JOLQ3J&marketplace=FLIPKART&srno=b_3_105&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=ecc7f110-e22a-4c2e-84f9-9943cad2ed36.WCWF6GNZYGBEASW5.SEARCH,"Boys Brown Artificial Leather Wallet,  (9 Card Slots)"
